               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,             0.07733,             0.20251,                   0,             0.39707,             0.37246,             0.32656,             0.11704,            0.076571,             0.15337,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.079265,             0.19374,                   0,              0.4006,             0.36057,             0.32404,             0.11752,            0.076517,             0.15675,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.080084,             0.22195,                   0,              0.4006,             0.36057,             0.32404,             0.11752,            0.076517,             0.15675,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.080884,             0.17284,                   0,             0.43511,             0.37698,             0.35069,             0.12449,            0.075163,             0.15318,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.079057,              0.1931,                   0,             0.43511,             0.37698,             0.35069,             0.12449,            0.075163,             0.15318,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.076592,             0.18304,                   0,             0.46969,             0.44185,             0.37612,             0.13209,            0.073492,             0.15181,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.077495,             0.18509,                   0,             0.46969,             0.44185,             0.37612,             0.13209,            0.073492,             0.15181,                   0,            0.002971,            0.002971,            0.002971
                  73,              0.0802,             0.21386,                   0,             0.36859,             0.44244,             0.29595,            0.099144,            0.075076,             0.15134,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.07779,             0.18052,                   0,             0.36859,             0.44244,             0.29595,            0.099144,            0.075076,             0.15134,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.076005,             0.19502,                   0,             0.36859,             0.44244,             0.29595,            0.099144,            0.075076,             0.15134,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.073188,             0.22653,                   0,             0.41647,             0.42438,             0.34138,             0.12127,            0.073708,             0.15264,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.076442,             0.18861,                   0,             0.41647,             0.42438,             0.34138,             0.12127,            0.073708,             0.15264,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.075111,             0.20782,                   0,             0.48473,              0.4447,             0.39739,             0.15785,            0.071043,             0.15206,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.076203,             0.19977,                   0,             0.48473,              0.4447,             0.39739,             0.15785,            0.071043,             0.15206,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.077757,             0.19972,                   0,             0.49116,             0.45372,             0.39341,             0.14834,            0.071409,             0.15096,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.073888,             0.18207,                   0,             0.49116,             0.45372,             0.39341,             0.14834,            0.071409,             0.15096,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.073784,             0.20152,                   0,             0.49116,             0.45372,             0.39341,             0.14834,            0.071409,             0.15096,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.071952,             0.18035,                   0,             0.50421,             0.44695,             0.39871,             0.15276,            0.070653,             0.15119,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.075685,             0.21659,                   0,             0.50421,             0.44695,             0.39871,             0.15276,            0.070653,             0.15119,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.075925,             0.20319,                   0,             0.55366,             0.48081,             0.42596,             0.16877,            0.069699,             0.15141,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.077238,             0.17923,                   0,             0.55366,             0.48081,             0.42596,             0.16877,            0.069699,             0.15141,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.075863,             0.19681,                   0,             0.54255,             0.48081,             0.43125,             0.17318,            0.069197,             0.15176,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.069705,             0.18136,                   0,             0.54255,             0.48081,             0.43125,             0.17318,            0.069197,             0.15176,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.072093,             0.21897,                   0,             0.49625,             0.44695,             0.39413,             0.15111,            0.070176,             0.15145,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.074225,             0.17587,                   0,             0.49625,             0.44695,             0.39413,             0.15111,            0.070176,             0.15145,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.074516,             0.18634,                   0,             0.49625,             0.44695,             0.39413,             0.15111,            0.070176,             0.15145,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.073756,             0.19749,                   0,             0.47892,             0.45147,              0.3762,             0.14349,            0.071064,             0.15142,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.072211,             0.19761,                   0,             0.47892,             0.45147,              0.3762,             0.14349,            0.071064,             0.15142,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.072925,             0.20429,                   0,              0.4789,             0.47091,             0.38216,             0.14777,            0.069765,             0.15184,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.070796,             0.21128,                   0,              0.4789,             0.47091,             0.38216,             0.14777,            0.069765,             0.15184,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.074092,              0.1978,                   0,             0.50842,             0.46693,             0.39807,              0.1543,            0.068639,             0.15193,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.072098,             0.20342,                   0,             0.50842,             0.46693,             0.39807,              0.1543,            0.068639,             0.15193,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.070556,             0.19208,                   0,             0.50842,             0.46693,             0.39807,              0.1543,            0.068639,             0.15193,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.071257,             0.17091,                   0,             0.52174,             0.46275,             0.41107,             0.15903,            0.068629,             0.15196,                   0,            0.000298,            0.000298,            0.000298
